"Theme";"Question";"Reponse_Correcte";"Reponse_Incorrecte_1";"Reponse_Incorrecte_2";"Reponse_Incorrecte_3"
"Géants du web";"Quelle société chinoise à capital privé possède son siège social à Hangzhou ?";"Alibaba Group";"Panguso";"Baidu";"NetEase"
"Géants du web";"Laquelle de ces entreprises américaines était à l'origine spécialisée dans les routeurs ?";"Cisco Systems";"Panda";"Symantec";"Intego"
"Géants du web";"Quelle filiale s'occupe du développement et du marketing du navigateur Mozilla Firefox ?";"Mozilla Corporation";"Cygnus Solutions";"Red Hat";"Sun Microsystems"
"Géants du web";"Quelle société est le premier distributeur du système d'exploitation GNU/Linux ?";"Red Hat";"Debian";"Fedora";"Ubuntu"
"Géants du web";"Lequel de ces anciens fournisseurs d'accès à Internet est américain ?";"AOL";"Tiscali";"Infonie";"Wanadoo"
"Géants du web";"Quelle plate-forme de microblogage s'appuie principalement sur le reblogage ?";"Tumblr";"Drupal";"Nucleus";"Ghost"
"Pokémon";"Combien de Pokémon un dresseur peut-il transporter ?";"6";"4";"1";"10"
"Pokémon";"Sur quel animal se base la forme de Laporeille, Pokémon de la quatrième génération ?";"Le lapin";"Le blaireau";"L'éléphant";"La girafe"
"Pokémon";"Quel est le jeu « Pokémon » le plus vendu de tous les temps sur la console Game Boy Advance ?";"Rubis";"Émeraude";"Platine";"Rouge Feu"
"Pokémon";"Quels sont les types de Dracaufeu, que l'on retrouve sur des jaquettes des jeux « Pokémon » ?";"Feu / Vol";"Vol / Dragon";"Feu / Dragon";"Feu / Combat"
"Pokémon";"Comment se prénomme le jeune garçon, héros du dessin animé « Pokémon » ?";"Sacha";"Pierre";"Jacky";"Florent"
"Pokémon";"Comment traduire Pokémon, générateur de nombreux produits dérivés ?";"Monstres de poche";"Petit animal";"Chasse aux dragons";"Mega pouvoirs"
"Pokémon";"Quel est l'âge du jeune Sacha Ketchum au début de la série « Pokémon » ?";"10 ans";"9 ans";"11 ans";"12 ans"
"Pokémon";"De quelle famille de Pokémon Pikachu, Rattatac et Sabelette font-ils partie ?";"Souris";"Oeufs";"Brebis";"Chiots"
"Pokémon";"Dans « Pokémon », que peut-on voir sur le ventre de Ptitard et de ses évolutions ?";"Une spirale";"Un carré";"Une étoile";"Un cercle"
"Pokémon";"Quel nom avait été initialement choisi au moment du lancement du jeu « Pokémon » ?";"« Capsule Monsters »";"« Mega Monsters »";"« Red Balls »";"« Sacha's Quest »"
"Pokémon";"Quelle est la couleur du Pokémon baptisé Insécateur, de double type Insecte et Vol ?";"Verte";"Jaune";"Rouge";"Bleue"
"Pokémon";"Lequel de ces Pokémon porte en guise de casque le crâne de sa mère morte ?";"Osselait";"Evoli";"Ludicolo";"Eoko"
"Pokémon";"Qu'est-ce que Canarticho tient constamment dans sa main ou dans son aile ?";"Un poireau";"Un artichaut";"Une carotte";"Du persil"
"Pokémon";"Qu'est-ce qui a inspiré Satoshi Tajiri pour créer les Pokémon et le concept qui va autour ?";"Des criquets";"Des souris";"Des coqs";"Des escargots"
"Pokémon";"Dans le premier épisode de « Pokemon », combien de fois Sacha est-il électrocuté par Pikachu ?";"Deux fois";"Une fois";"Trois fois";"Quatre fois"
"Pokémon";"Comment se prénomme le chef de la Team Rocket, organisation criminelle dans « Pokémon » ?";"Giovanni";"Max";"Hélio";"Sacha"
"Pokémon";"Lequel de ces Pokémon est l'un des seuls à avoir le même nom dans toutes les langues ?";"Pikachu";"Osselait";"Smogo";"Canarticho"
"Pokémon";"De quel pays la géographie des lieux visités dans « Pokémon » est-elle inspirée ?";"Du Japon";"De l'Inde";"De la Chine";"Du Canada"
"Pokémon";"En dehors du Japon, par quelle couleur la cartouche Pokemon verte fut-elle remplacée ?";"Bleue";"Rouge";"Jaune";"Argent"
"Pokémon";"Complétez cette phrase de la Team Rocket: « Afin de préserver le monde de la...";"Dévastation";"Désolation";"Solarisation";"Déforestation"
"Pokémon";"Le spectre de quel pokémon hante le 5e étage de la Tour Pokémon, immeuble de Lavanville ?";"Ossatueur";"Fantominus";"Smogo";"Spectrum"
"Pokémon";"Dans l'univers de « Pokémon », laquelle de ces baies guérit la confusion ?";"Kika";"Oran";"Wiki";"Sitrus"
"Pokémon";"Dans les versions américaines et japonaises de « Pokémon », à qui fait référence Hitmonlee ?";"Bruce Lee";"Jackie Chan";"Hong Xiguan";"Yang Luchan"
"Pokémon";"De quel animal Soporifik, qui peut empêcher un Pokémon de s'endormir, est-il inspiré ?";"Le tapir";"L'éléphant";"Le koala";"Le serpent"
"Pokémon";"Quel est le premier Pokémon à avoir été imaginé par les créateurs de la franchise ?";"Rhinoféros";"Melofée";"Pikachu";"Lugia"
"Pokémon";"Selon la légende, quel Pokémon aurait créé l'univers Pokémon avec ses mille bras ?";"Arceus";"Giratina";"Palkia";"Dialga"
"Pokémon";"Quel Pokémon les joueurs pouvaient-ils télécharger au « Tokyo Game Show » en 1997 ?";"Mew";"Alakazam";"Ectoplasma";"Arceus"
"Pokémon";"Quel pokémon a été le premier enregistré dans le Pokédex National ?";"Bulbizarre";"Carapuce";"Salamèche";"Chenipan"
"Pokémon";"À l'origine, quel Pokémon Sacha devait-il recevoir au moment de partir à l'aventure ?";"Melofée";"Pikachu";"Bulbizarre";"Mew"
"Pokémon";"Quels sont les numéros respectifs de Pikachu et Miaouss dans le Pokédex National ?";"25 et 52";"12 et 21";"32 et 223";"47 et 74"
"Crypto monnaie";"Sous quel autre nom est aussi connue des spécialistes la crypto-monnaie Peercoin ?";"PPCoin";"RipCoin";"ConnectCoin";"DualCoin"
"Crypto monnaie";"Dans quel portefeuille peuvent être stockés les Ethers ?";"Wallet";"Basket";"Magnet";"Disket"
"Crypto monnaie";"Quel investisseur de crypto-monnaies est aussi le créateur du site bitcoin.com ?";"Roger Ver";"Gavin Wood";"Charlie Lee";"Sunny King"
"Crypto monnaie";"Combien compte-t-on à ce jour de crypto-monnaies de la catégorie infrastructure ?";"Une dizaine";"Une centaine";"Une cinquantaine";"Un millier"
"Crypto monnaie";"Qu'apporte la crypto-monnaie par rapport à d'autres solutions comme PayPal ?";"Anonymat";"Traçabilité";"Identification";"Frais de dossier"
"Crypto monnaie";"En quelle année Bitcoin, la première crypto-monnaie, a-t-elle vu le jour ?";"2009";"2011";"2013";"2015"
"Crypto monnaie";"Quelle opération sert à valider les transactions et sécuriser le réseau Bitcoin ?";"Minage";"Routage";"Débogage";"Hachage"
"Crypto monnaie";"Dans quelle série télévisée créée par Sam Esmail parle-t-on du Bitcoin ?";"« Mr. Robot »";"« Breaking Bad »";"« The Affair »";"« Homeland »"
"Crypto monnaie";"Sur quelle plate-forme pouvez-vous acheter jusqu'à 200 crypto-monnaies différentes ?";"Bittrex";"Cryptopia";"Kraken";"CoinHouse"
"Crypto monnaie";"Quel était le cours du bitcoin en janvier 2018, sachant qu'il valait 1 euro en 2001 ?";"9 306 euros";"7 607 euros";"5 944 euros";"3 519 euros"
"Crypto monnaie";"Quel ancien employé de Google a développé la monnaie électronique Litecoin ?";"Charlie Lee";"Kevin Castner";"Terri Hall";"Robert Walsh"
"Crypto monnaie";"En quelle année fut fondé le protocole de paiement open-source Stellar ?";"2014";"2012";"2010";"2016"
"Crypto monnaie";"Quel type de crypto-monnaie va bien au-delà du simple moyen de paiement ?";"Infrastructure";"Social";"Shopping";"Local"
"Crypto monnaie";"Quelle crypto-monnaie ultra-sécurisée cible exclusivement le marché du cannabis légal ?";"PotCoin";"PayCoin";"ZiftrCoin";"QuickCoin"
"Crypto monnaie";"Quel est le symbole utilisé par la crypto-monnaie Primecoin ?";"Lettre psi";"Aigle doré";"Zéro rouge";"Double carré"
"Crypto monnaie";"Quel nom porte la première crypto-monnaie conçue pour les systèmes Android ?";"MangoCoinz";"Burstcoin";"Reddcoin";"Vertcoin"
"Crypto monnaie";"Quel pays fut le premier à interdire l'utilisation du bitcoin sur son territoire ?";"Thaïlande";"Russie";"Allemagne";"États-Unis"
"Crypto monnaie";"Quelle crypto-monnaie exploite l'espace disque non utilisé d'un ordinateur ?";"Burstcoin";"Vertcoin";"NameCoin";"MangoCoinz"
"Crypto monnaie";"Quel développeur est depuis ses débuts au coeur de la crypto-monnaie Peercoin ?";"Sunny King";"Charlie Lee";"Roger Ver";"Gavin Wood"
"Crypto monnaie";"Quelle crypto-monnaie tente d'inciter à la production d'électricité photovoltaïque ?";"SolarCoin";"Burstcoin";"Vertcoin";"NameCoin"
"Crypto monnaie";"Laquelle de ces plate-formes d'échange de crypto-monnaies a été créée en 2017 ?";"Binance";"CoinBase";"Bibox";"Bittrex"
"Crypto monnaie";"Quelle monnaie native est utilisée par le protocole de paiement Ripple ?";"XRP";"PRP";"RIL";"PPE"
"Crypto monnaie";"Quel docteur en informatique a publié le whitepaper de Polkadot ?";"Gavin Wood";"Charlie Lee";"Sunny King";"Roger Ver"
"Crypto monnaie";"Quelle crypto-monnaie a pour slogan « Unbank the banked » ?";"OmiseGO";"PotCoin";"Burstcoin";"SolarCoin"
"Crypto monnaie";"Quel type de crypto-monnaie à usage professionnel est surnommé Bitcoin 2.0 ?";"Infrastructure";"Social";"Shopping";"Local"
"Crypto monnaie";"Quelle crypto-monnaie locale est destinée aux habitants de l'Islande ?";"AuroaCoin";"NEO";"PeerCoin";"Litecoin"
"Crypto monnaie";"Laquelle de ces crypto-monnaies est utilisable pour des investissements à long terme ?";"NxT";"Reddcoin";"PeerCoin";"NameCoin"
"Crypto monnaie";"Quelle plate-forme d'échange de bitcoins fut rachetée par Mark Karpelès ?";"Mt. Gox";"CoinBase";"Binance";"Huobi"
"Crypto monnaie";"En France, à qui le ministre de l'Économie a-t-il confié une mission sur le bitcoin ?";"Jean-Pierre Landau";"Serge Lasvignes";"Jean Lemierre";"Jean-Louis Levet"
"Crypto monnaie";"Quelle crypto-monnaie chinoise est similaire à Ethereum ?";"NEO";"NxT";"PPCoin";"XRP"
